customer_id,age,gender,tenure,balance,num_products,has_credit_card,is_active_member,estimated_salary,exited
CUST0001,58,Male,9,140071.57,4,1,1,138000.18,0
CUST0002,48,Female,6,169332.23,1,0,0,96945.54,1
CUST0003,34,Male,8,171264.86,4,1,1,65528.37,0
CUST0004,62,Female,6,80901.63,4,1,0,112063.56,1
CUST0005,27,Female,0,177554.02,4,1,0,82616.71,1
CUST0006,40,Female,0,170185.69,1,0,0,69138.39,1
CUST0007,58,Male,8,187127.0,3,1,0,111660.97,1
CUST0008,38,Male,8,157068.13,4,1,0,52334.14,1
CUST0009,42,Male,3,133797.65,2,0,0,62932.83,0
CUST0010,30,Male,8,116137.32,1,1,0,76478.74,0
CUST0011,30,Female,2,74456.55,4,1,1,52978.68,1
CUST0012,43,Male,6,188026.69,4,0,0,72676.27,1
CUST0013,55,Male,5,194732.77,2,1,0,94291.49,0
CUST0014,59,Male,7,56784.19,3,0,1,116326.6,1
CUST0015,43,Male,8,61072.77,3,0,1,119735.33,1
CUST0016,22,Male,4,97122.75,3,1,1,126962.75,0
CUST0017,41,Female,0,89684.83,4,1,0,116747.52,1
CUST0018,21,Male,2,198891.49,4,1,1,108535.13,1
CUST0019,43,Female,9,35185.05,4,1,0,50875.84,0
CUST0020,63,Male,7,3615.07,1,0,0,72028.98,0
CUST0021,49,Female,5,98778.74,2,1,0,82102.94,0
CUST0022,57,Male,7,35764.54,4,0,0,30775.87,1
CUST0023,21,Male,8,73293.76,2,1,1,88688.12,0
CUST0024,40,Female,3,148834.1,2,1,1,76723.66,0
CUST0025,52,Female,0,144187.98,3,1,0,124274.2,0
CUST0026,31,Female,0,61612.16,1,0,0,147127.09,0
CUST0027,41,Male,9,108508.05,4,1,0,92280.66,0
CUST0028,63,Female,3,101762.82,3,1,1,61949.23,0
CUST0029,44,Male,6,127266.52,3,1,0,25642.1,1
CUST0030,68,Male,1,50092.36,4,1,0,140203.63,1
CUST0031,46,Female,2,117974.17,2,0,1,139485.04,0
CUST0032,61,Female,0,195778.57,3,1,1,52888.72,0
CUST0033,47,Male,4,97348.43,2,0,0,110403.45,0
CUST0034,35,Male,0,181219.76,1,0,1,29806.49,1
CUST0035,34,Female,7,86878.87,2,0,1,41608.01,1
CUST0036,66,Female,0,70015.68,1,0,0,48185.18,1
CUST0037,63,Female,0,129020.67,2,0,1,58284.21,1
CUST0038,22,Male,1,133784.81,3,0,0,149458.08,1
CUST0039,56,Male,1,172833.51,3,1,1,110600.26,1
CUST0040,26,Male,5,46037.05,1,0,0,69946.24,1
CUST0041,40,Male,6,99838.68,4,0,0,115823.09,1
CUST0042,28,Male,4,114400.84,1,0,0,138983.06,1
CUST0043,58,Male,0,153710.8,1,1,1,144631.31,0
CUST0044,37,Female,0,8720.75,2,1,0,27522.31,0
CUST0045,23,Male,2,198910.1,2,0,1,71287.83,0
CUST0046,44,Male,1,93988.9,1,1,0,33878.29,0
CUST0047,33,Male,4,55912.07,3,0,0,63635.81,1
CUST0048,69,Female,9,176698.8,2,0,1,42058.39,1
CUST0049,28,Male,5,149543.75,4,1,0,104090.29,0
CUST0050,45,Male,6,190614.37,2,0,0,70474.89,1
CUST0051,21,Female,3,66150.06,2,1,1,49821.32,0
CUST0052,39,Male,6,110552.99,4,1,0,54571.93,1
CUST0053,47,Male,7,114458.49,1,0,0,66844.86,0
CUST0054,66,Male,0,196066.32,4,0,0,53793.48,1
CUST0055,26,Male,5,15069.25,1,1,0,78921.31,1
CUST0056,63,Male,7,61139.4,1,0,1,24201.07,0
CUST0057,27,Female,4,38182.21,1,0,1,56369.26,1
CUST0058,66,Female,3,53694.97,4,0,0,73456.87,0
CUST0059,54,Female,1,97055.97,1,1,1,98361.64,0
CUST0060,33,Male,5,74537.37,3,1,0,55224.49,0
CUST0061,36,Male,5,78938.29,4,0,1,37314.07,0
CUST0062,55,Male,0,168842.63,3,1,0,29906.05,1
CUST0063,69,Female,8,186003.37,1,1,0,142269.14,1
CUST0064,59,Male,5,14083.23,2,1,0,74163.08,1
CUST0065,23,Male,2,41783.74,1,1,0,95551.14,0
CUST0066,21,Female,3,134228.7,3,1,0,139492.95,1
CUST0067,25,Male,3,71729.36,3,0,0,30757.29,0
CUST0068,61,Female,2,50832.73,4,0,1,133965.99,1
CUST0069,23,Female,9,59058.12,2,0,0,91706.42,1
CUST0070,48,Female,2,64510.15,4,1,1,41428.45,1
